Id,Name,Popularity,Followers,Genres
0PpiNNCSKFjchmyHuCe0Pj,Nnena,42,1713,
0txgDz2yNToARuN2vD7SWD,Raedio,53,4994,
5sennRot4Ls82wfspEQuf2,Leela James,54,341813,"neo soul, r&b, urban contemporary"
2DzRMyWgjuMbYvt5BLbpCo,Anthony Hamilton,64,1289701,"contemporary r&b, neo soul, quiet storm, r&b, soul, urban contemporary"
0ty0xha1dbprYIUAQufkFn,Patti LaBelle,58,743068,"contemporary r&b, disco, funk, motown, neo soul, philly soul, post-disco, quiet storm, r&b, soul, urban contemporary"
4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,84,7390213,"dance pop, pop, urban contemporary"
3zTOe1BtyTkwNvYZOxXktX,Joe,68,1409695,"contemporary r&b, dance pop, hip pop, neo soul, r&b, urban contemporary"
20qISvAhX20dpIbOOzGK3q,Nas,78,2683005,"conscious hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, queens hip hop, rap"
4ybJiTIMVzeVOd00nI8Xxm,Clue,46,502,
04PvD1Anr3LC341vrIWXsf,"Supa Engineer ""Duro""",46,59,
7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,80,5452288,"adult standards, funk, motown, quiet storm, soul"
4JqpJeNOhP6bAkolNMLwFg,Jean Deaux,62,97860,"alternative r&b, chill r&b, escape room, indie r&b, indie soul"
1c4rxrxy8eDLvMVL1DTiBe,Andra Day,62,363835,"neo soul, r&b"
15X73vdLvKcEwXjB37sOIU,Refi Sings,33,339,
2NmK5FyrQ18HOPXq1UBzqa,SWV,64,1464506,"contemporary r&b, dance pop, girl group, hip hop, hip pop, neo soul, new jack swing, quiet storm, r&b, urban contemporary"
1l40tPBtp1bmS1krmINRSD,LSG,44,285,
4DXQx61f5u5Ulazrx2iUks,Coko,36,148,
5NDMothbpdpq2xHqSjrrWn,Faith Evans,68,1192062,"contemporary r&b, dance pop, hip hop, hip pop, neo soul, quiet storm, r&b, urban contemporary"
2wIVse2owClT7go1WT98tk,Missy Elliott,74,1859959,"dance pop, hip hop, hip pop, pop, pop rap, r&b, rap, urban contemporary, virginia hip hop"
2FMOHE79X98yptp4RpPrt7,PJ Morton,66,172041,"indie soul, neo soul, r&b, urban contemporary"
5xuNBZoM7z1Vv8IQ6uM0p6,JoJo,67,2015634,"dance pop, hip pop, pop, pop rap, post-teen pop, r&b, urban contemporary"
7G7JWOsGhDMily2HtfzcIZ,Evvie McKinney,43,19600,
5ItTHwcEtFh6DEOBheMub9,Jonathan McReynolds,54,198850,"gospel, gospel r&b"
4S4kD5NBlgaq4YLBQSEMyY,Mali Music,52,150586,gospel
4apX9tIeHb85yPyy4F6FJG,Wild Cherry,58,136299,"disco, funk rock"
3VNITwohbvU5Wuy5PC6dsI,Kool & The Gang,70,1870953,"disco, funk, motown, post-disco, quiet storm, soul"
0urTpYCsixqZwgNTkPJOJ4,Aaliyah,71,3054745,"contemporary r&b, dance pop, hip pop, pop, pop rap, r&b, urban contemporary"
5Y5TRrQiqgUO4S36tzjIRZ,Timbaland,79,2157654,"dance pop, hip hop, hip pop, pop, pop rap, urban contemporary"
5VfqJBmXcf6ZqXoGij5qTE,Tevin Campbell,60,767129,"contemporary r&b, hip pop, neo soul, new jack swing, quiet storm, r&b, urban contemporary"
4TwHRCIu3Xg9fjS3l7owkp,The Gap Band,59,800083,"disco, funk, motown, post-disco, quiet storm, soul, urban contemporary"
61UT1Zj9dFgPAjZfwnsqsb,Teena Marie,53,474191,"classic soul, contemporary r&b, disco, funk, motown, neo soul, post-disco, quiet storm, r&b, soul, urban contemporary"
0le01dl1WllSHhjEXRl4in,Tamia,65,1214883,"canadian pop, contemporary r&b, dance pop, hip pop, neo soul, quiet storm, r&b, urban contemporary"
0YWxKQj2Go9CGHCp77UOyy,Fabolous,71,2125998,"dance pop, gangster rap, hardcore hip hop, hip hop, hip pop, pop rap, r&b, rap, trap, urban contemporary"
0CHgnpcHB0yfcUfJ3bdI3W,Bruised Soundtrack,52,3851,
3hb8905DjGbSMnBfrh09rL,David Sabastian,32,1880,"deep underground hip hop, vapor trap"
4TsHKU8l8Wq7n7OPVikirn,Jidenna,57,337414,ghanaian hip hop
0VRj0yCOv2FXJNP47XQnx5,Quavo,82,5463205,"atl hip hop, hip hop, melodic rap, pop rap, rap, southern hip hop, trap"
1EpyA68dKpjf7jXmQL88Hy,Noname,61,599167,"alternative r&b, chicago rap, escape room, hip hop, indie soul, underground hip hop"
4jqFe1fd5uul2XSSxsRvbZ,Cam O'bi,55,14263,
2PU4qFehXQF7WnlFsJpBiJ,Raury,56,183930,psychedelic hip hop
4q0N3EI67tVnAeeaXbNQIj,J. Worra,54,12660,"bass house, deep groove house, house"
37fzXndf2fxVrk7qarhyo0,Leo Stannard,58,32318,indie anthem-folk
6tCJN1fQNdFCEaOa8Da9Wf,Jaded,52,19833,uk dance
4ofCBoyEiGSePFAG500xev,Regard,76,168144,"dance pop, edm, electro house, pop, pop dance, pop edm, slap house, tropical house"
3WGpXCj9YhhfX11TToZcXP,Troye Sivan,80,6358707,"australian pop, dance pop, electropop, pop, viral pop"
45dkTj5sMRSjrmBSBeiHym,Tate McRae,82,2295792,"alt z, dance pop, pop, post-teen pop"
0u6GtibW46tFX7koQ6uNJZ,Topic,80,165684,"dance pop, edm, electro house, german dance, pop dance, pop edm, tropical house"
4pnp4w9g30yLfVIAFnZMRd,ACRAZE,80,44774,
1c70yCa8sRgIiQxl3HOEFo,Cherish,81,488273,"atl hip hop, dance pop, girl group, hip pop, r&b, southern hip hop, urban contemporary"
